oid_bike_movement,geometry
5b944e082f3843443049e4c0,"LINESTRING (-3.696615 40.4220771, -3.6924166 40.4220784997222, -3.68943159972222 40.4228245997222, -3.687952 40.4255793)"
5ba1d1532f38433fc8f484fe,"LINESTRING (-3.67591109972222 40.45682979999999, -3.67723129972222 40.4541310997222, -3.67769499972222 40.45026849972221, -3.67957279972222 40.4480052997222, -3.6825095 40.4449455997222, -3.68273699972222 40.44144979999999, -3.682939 40.43970729999999, -3.68329629972222 40.43517609972221, -3.6834598 40.43251779972221, -3.6836248 40.4301346, -3.68405849972222 40.4258725997222, -3.68413709972222 40.4247300997222, -3.6854496 40.423875, -3.6883156 40.42409299972221, -3.6904425 40.4253082997222)"
5bb693c82f384321806bbac5,"LINESTRING (-3.6962925 40.404153, -3.6962925 40.404153, -3.692915 40.4080695, -3.692915 40.4080695, -3.6913328 40.4087584997222, -3.6913328 40.4087584997222, -3.688885 40.4100771, -3.688885 40.4100771, -3.68917399972222 40.41471929999999, -3.68917399972222 40.41471929999999, -3.68913659972222 40.41696999972221, -3.68913659972222 40.41696999972221)"
5b92fbe52f38435fe0fb5655,"LINESTRING (-3.67777559972222 40.4151966, -3.678323600000001 40.4169586, -3.679351 40.4197447997222, -3.68046249972222 40.4215036, -3.68441529972222 40.4208336, -3.6895748 40.4200783, -3.69229429972222 40.4193281, -3.6999325 40.4197726, -3.70414129972222 40.42014829999999, -3.7061088 40.4202749997222, -3.7078796 40.42144509972221, -3.70937029972222 40.4222188, -3.7110723 40.4234222997222, -3.71153129972222 40.42403399972221, -3.7090771 40.424351, -3.7083743 40.4249981, -3.70850979972222 40.424995, -3.7088768 40.42434779972221, -3.7073311 40.42514609972221, -3.70638779972222 40.4272396, -3.70626109972222 40.4277931, -3.7060605 40.4296543, -3.7042115 40.4292711, -3.70122209972222 40.42866129999999, -3.696997 40.42779, -3.69522999972222 40.4279895, -3.6911263 40.4281135, -3.68965949972222 40.4277244997222)"
5bac09e22f384335f8d46328,"LINESTRING (-3.688021 40.4332155997222, -3.688152 40.432613, -3.68894229972222 40.4300931, -3.68995 40.4274445, -3.68963909972222 40.4256840997222, -3.6850941 40.425145, -3.6843655 40.42232549972221, -3.68438899972222 40.4212272997222, -3.6802011 40.4215183, -3.67960159972222 40.42191329972221, -3.67281209972222 40.420641, -3.67304599972222 40.4206344997222, -3.6746753 40.4211825, -3.6763246 40.42147729972221, -3.6766306 40.4215626, -3.6766231 40.421652, -3.67276159972222 40.42168649972221, -3.66995259972222 40.42136059972221, -3.6687281 40.4225939997222, -3.66697659972222 40.4248075, -3.6650195 40.4233653, -3.6642358 40.4233138, -3.6672665 40.4229945, -3.6692271 40.4231589997222, -3.67087809972222 40.42312329999999, -3.67456449972222 40.4233905997222, -3.67751159972222 40.42344129999999, -3.6798695 40.4235644997222, -3.68283279972222 40.42385829972221, -3.68254329972222 40.4268311, -3.68249329972222 40.4286670997222, -3.68354679972222 40.4304412997222, -3.68346909972222 40.4302399997222, -3.68352259972222 40.4303614997222, -3.68345549972222 40.4303774997222, -3.68275979972222 40.4303949997222, -3.67940159972222 40.4300490997222, -3.67998609972222 40.4266851, -3.680029 40.4248416, -3.68011 40.4244306, -3.6820048 40.4239655, -3.68518359972222 40.4239571, -3.687522 40.42403729999999, -3.68818609972222 40.4241888, -3.69450779972222 40.4271328, -3.69903959972222 40.4285203, -3.7023633 40.4285684997222, -3.7021073 40.42774359972221, -3.7000028 40.42661629972221, -3.6981635 40.42666679972221, -3.6968386 40.4262281, -3.69600209972222 40.4278680997222, -3.69446049972222 40.4269924997222, -3.6904013 40.4255532997222, -3.69003799972222 40.4261101, -3.6848458 40.42508529972221, -3.688021 40.4332155997222, -3.688152 40.432613, -3.68894229972222 40.4300931, -3.68995 40.4274445, -3.68963909972222 40.4256840997222, -3.6850941 40.425145, -3.6843655 40.42232549972221, -3.68438899972222 40.4212272997222, -3.6802011 40.4215183, -3.67960159972222 40.42191329972221, -3.67281209972222 40.420641, -3.67304599972222 40.4206344997222, -3.6746753 40.4211825, -3.6763246 40.42147729972221, -3.6766306 40.4215626, -3.6766231 40.421652, -3.67276159972222 40.42168649972221, -3.66995259972222 40.42136059972221, -3.6687281 40.4225939997222, -3.66697659972222 40.4248075, -3.6650195 40.4233653, -3.6642358 40.4233138, -3.6672665 40.4229945, -3.6692271 40.4231589997222, -3.67087809972222 40.42312329999999, -3.67456449972222 40.4233905997222, -3.67751159972222 40.42344129999999, -3.6798695 40.4235644997222, -3.68283279972222 40.42385829972221, -3.68254329972222 40.4268311, -3.68249329972222 40.4286670997222, -3.68354679972222 40.4304412997222, -3.68346909972222 40.4302399997222, -3.68352259972222 40.4303614997222, -3.68345549972222 40.4303774997222, -3.68275979972222 40.4303949997222, -3.67940159972222 40.4300490997222, -3.67998609972222 40.4266851, -3.680029 40.4248416, -3.68011 40.4244306, -3.6820048 40.4239655, -3.68518359972222 40.4239571, -3.687522 40.42403729999999, -3.68818609972222 40.4241888, -3.69450779972222 40.4271328, -3.69903959972222 40.4285203, -3.7023633 40.4285684997222, -3.7021073 40.42774359972221, -3.7000028 40.42661629972221, -3.6981635 40.42666679972221, -3.6968386 40.4262281, -3.69600209972222 40.4278680997222, -3.69446049972222 40.4269924997222, -3.6904013 40.4255532997222, -3.69003799972222 40.4261101, -3.6848458 40.42508529972221)"
5b9991e92f38431f042d4c5c,"LINESTRING (-3.71059729972222 40.40346279972221, -3.7101755 40.4025840997222, -3.70699779972222 40.40131459972221, -3.7052898 40.3987844997222, -3.7050675 40.39850679972221, -3.70426499972222 40.3972734997222, -3.70052249972222 40.395051, -3.6983136 40.3936892997222)"
5b96ef3d2f384332ac017198,"LINESTRING (-3.67751079972222 40.41546999972221, -3.67673909972222 40.4124971, -3.6773658 40.40974749999999, -3.67861679972222 40.4073593, -3.68276529972222 40.40679429999999, -3.6869133 40.406331, -3.6894475 40.40696879999999, -3.69263709972222 40.4078774997222, -3.6933543 40.40516099972221, -3.693744 40.4029905, -3.69386599972222 40.4004802997222, -3.69486779972222 40.3961657997222, -3.6958028 40.3956348, -3.69633709972222 40.39464579972221, -3.6972398 40.3929260997222)"
5ba02ba62f38433744cf4f1a,"LINESTRING (-3.69364299972222 40.43514279999999, -3.6913048 40.43507579972221, -3.6904305 40.4352766, -3.68657909972222 40.4353965, -3.68271199972222 40.4349806, -3.677967 40.4347697997222, -3.674916000000001 40.4343925, -3.6750085 40.4333974997222, -3.6751475 40.4326955, -3.6752828 40.43228799972221, -3.675307 40.4295241, -3.6752975 40.4281002997222)"
5b9ed9e82f38433fbce42dac,"LINESTRING (-3.6822778 40.4220109997222, -3.6827698 40.42167729972221, -3.68217399972222 40.4213829997222, -3.6820191 40.4211634997222, -3.68181409972222 40.4209852997222, -3.68087259972222 40.4195173, -3.6806253 40.4182896, -3.68045879972222 40.4179918, -3.68027829972222 40.4169510997222, -3.680022 40.4162595, -3.6799933 40.4158271, -3.6796475 40.4150295997222, -3.67915949972222 40.41315729999999, -3.67896229972222 40.4120653, -3.67908299972222 40.4110865997222, -3.68021259972222 40.4099982997222, -3.6819035 40.4106128, -3.68265909972222 40.4110178, -3.6822246 40.4109491, -3.68248329972222 40.4111593, -3.68240709972222 40.4110609997222, -3.6816635 40.4107848, -3.6797976 40.4103003, -3.67903799972222 40.4113666, -3.6792161 40.412064, -3.6796543 40.4136694997222, -3.6798375 40.414625, -3.68009029972222 40.4161931, -3.680148 40.4166801, -3.68014 40.41667, -3.68042129972222 40.417414, -3.68073029972222 40.41886179999999, -3.68077079972222 40.4193191, -3.681505 40.42051779972221, -3.68182599972222 40.4210696, -3.6821893 40.4211266, -3.68282109972222 40.4215895997222, -3.68267599972222 40.4218540997222)"
5baab7c72f384333d4d969b2,"LINESTRING (-3.6955523 40.4030084997222, -3.6982805 40.4021984997222, -3.70007399972222 40.4041161, -3.7032308 40.40493779972221, -3.70717179972222 40.4068984997222, -3.70698479972222 40.4116201, -3.7049791 40.4130960997222, -3.70416349972222 40.415675, -3.70281759972222 40.41678149972221)"
