id,code_station,name,num_bases,address,latitude,longitude
1,1,Puerta del Sol A,24,Puerta del Sol nº 1,40.4168961,-3.7024255
2,2,Puerta del Sol B,24,Puerta del Sol nº 1,40.4170009,-3.7024207
3,3,Miguel Moya,24,Calle Miguel Moya nº 1,40.4205886,-3.7058415
4,4,Plaza Conde Suchil,18,Plaza del Conde Suchil nº 2-4,40.4302937,-3.7069171
5,5,Malasaña,24,Calle Manuela Malasaña nº 5,40.4285524,-3.7025875
6,6,Fuencarral,27,Calle Fuencarral nº 108,40.428528,-3.7020599
7,7,Colegio Arquitectos,24,Calle Hortaleza nº 63,40.424148,-3.698447
8,8,Hortaleza,21,Calle Hortaleza nº 75,40.4251906,-3.6977715
9,9,Alonso Martínez,24,Plaza de Alonso Martínez nº 5,40.4278682,-3.6954403
10,10,Plaza de San Miguel,24,Plaza de San Miguel nº 9,40.4156057,-3.7095084
11,11,Marqués de la Ensenada,24,Calle Marqués de la Ensenada nº 16,40.4250863,-3.6918807
12,12,San Andrés,24,Calle San Andrés nº 18,40.4269483,-3.7035918
13,13,San Hermenegildo,24,Calle San Bernardo nº 85,40.4284246,-3.7061931
14,14,Conde Duque,24,Calle Conde Duque nº 22,40.4273264,-3.7104417
15,15,Ventura Rodríguez,24,Calle Ventura Rodríguez nº 2,40.4260957,-3.713479
16,16,San Vicente Ferrer,21,Calle San Vicente Ferrer nº 64,40.4261649,-3.7073764
17,17,San Bernardo,21,Calle San Bernardo nº 22,40.4230721,-3.7075065
18,18,Carlos Cambronero,24,Plaza de Carlos Cambronero nº 2,40.4232649,-3.7038312
19,19,Plaza de Pedro Zerolo,24,Plaza de Pedro Zerolo,40.4207773,-3.6996502
20,20,Prim,24,Calle Prim nº 2,40.4218616,-3.6954983
21,21,Banco de España A,30,Calle Alcalá nº 49,40.4192342,-3.6954615
23,23,Red de San Luis A,24,Calle Montera nº 48,40.4197872,-3.7014814
24,24,Red de San Luis B,24,Calle Montera nº 47,40.4197204,-3.7015235
25,25,Jacometrezo,24,Calle Jacometrezo nº 3,40.4200783,-3.7065376
26,26,Santo Domingo,24,Plaza de Santo Domingo nº 1,40.4197429,-3.7080733
27,27,Palacio de Oriente,24,Calle Carlos III nº 1,40.417908,-3.710692
28,28,Plaza de Celenque A,24,Plaza de Celenque nº 1,40.4173114,-3.7064809
29,29,Plaza de Celenque B,24,Plaza de Celenque nº 1,40.4172781,-3.7063837
30,30,Plaza de las Salesas,24,Plaza de las Salesas 7,40.423855,-3.694475
31,31,Huertas,24,Calle Jesús nº 1,40.4132798,-3.6956178
32,32,Sevilla,24,Calle Alcalá nº 27,40.4181663,-3.69926
33,33,Marqués de Cubas,24,Calle del Marqués de Cubas nº 25,40.4162619,-3.6957355
34,34,San Quintín,27,Calle Pavía nº 6,40.4192095,-3.711504
35,35,Calle Mayor,27,Calle Mayor nº 20,40.4163638,-3.7068969
36,36,Plaza de la Provincia,18,Plaza de la Provincia nº 1,40.4150099,-3.7061032
37,37,Carretas,24,Calle Carretas nº 8,40.4157138,-3.7031808
38,38,Jacinto Benavente,24,Plaza de Jacinto Benavente,40.4146755,-3.7036825
39,39,Plaza del Cordón,24,Plaza del Cordón nº 1,40.4141931,-3.7103285
40,40,Plaza de Ramales,24,Plaza de Ramales nº 1,40.4167281,-3.7124038
41,41,Plaza San Francisco,24,Plaza de San Francisco nº 5,40.4108442,-3.7144964
42,42,Plaza de los Carros,24,Carrera de San Francisco nº 1,40.4110406,-3.7120734
43,43,Plaza de la Cebada,27,Plaza de la Cebada nº 16 ,40.4112744,-3.7088337
44,44,Conde de Romanones,24,Plaza del Conde de Romanones nº 9,40.4138846,-3.7049407
45,45,Antón Martín,21,Calle Atocha nº 54,40.4122047,-3.6991147
46,46,Santa Isabel,24,Calle Santa Isabel nº 32,40.4107085,-3.6982318
47,47,Jesús y María,24,Calle Lavapiés nº 34-36,40.4101564,-3.7025024
48,48,Plaza de Nelson Mandela,21,Calle Mesón de Paredes nº 35,40.4097617,-3.7040666
49,49,Puerta de Toledo,21,Glorieta de la Puerta de Toledo nº 1,40.4070358,-3.7110513
50,50,Ribera de Curtidores,24,Calle Ribera de Curtidores nº 28,40.4053153,-3.7071259
51,51,Embajadores 1,24,Glorieta de Embajadores nº 6,40.4047851,-3.7028265
52,52,Embajadores 2,24,Glorieta de Embajadores nº 2,40.4056107,-3.7022591
53,53,Casa Encendida,24,Ronda de Atocha nº 34,40.4060941,-3.6992759
54,54,Museo Reina Sofía,24,Calle Santa Isabel nº 57,40.4083684,-3.6933463
55,55,Ronda de Atocha,27,Ronda de Atocha nº 2,40.4075606,-3.6935205
56,56,Plaza de Santa Ana,24,Plaza de Santa Ana nº 10,40.4144226,-3.7007164
57,57,Plaza de Lavapiés,24,Calle Valencia nº 1,40.4089282,-3.7008803
58,58,Barceló,21,Calle Barceló nº 7,40.4266828,-3.700423
59,59,Plaza de San Ildefonso,24,Plaza de San Ildefonso nº 3,40.4239757,-3.7020842
60,60,Plaza del Carmen ,24,Plaza del Carmen nº 1,40.4184192,-3.7032414
61,61,Santa Cruz del Marcenado,24,Calle Santa Cruz del Marcenado nº 24,40.4295658,-3.7126299
62,62,Augusto Figueroa,24,Calle Augusto Figueroa nº 33,40.4222862,-3.697895
63,63,Plaza de Juan Pujol,21,Calle Espíritu Santo nº 30,40.4255495,-3.7043418
64,64,Plaza de la Independencia,24,Plaza de la Independencia nº 6,40.419752,-3.688398
65,65,Narváez,24,Calle O'Donnell nº 28,40.4213983,-3.6752045
66,66,O'Donnell,24,Calle O'Donnell nº 50,40.4213148,-3.6724968
67,67,Ibiza,24,Calle Ibiza nº 62,40.4179237,-3.6708959
69,69,Antonio Maura,24,Calle Antonio Maura nº 15,40.4165605,-3.6904525
71,71,Almadén,24,Calle Almadén nº 28,40.4108472,-3.693225
72,72,Espalter,21,Calle Espalter nº 1,40.4128372,-3.6912023
73,73,Puerta del Ángel Caído,27,Avenida de Alfonso XII nº 54,40.409808,-3.688822
74,74,Puerta del Doce de Octubre,24,Avenida de Menéndez Pelayo nº 63,40.4153053,-3.6779232
75,75,Doce de Octubre,24,Calle Doce de Octubre nº 28,40.4159569,-3.6738865
76,76,Sainz de Baranda,24,Calle Doctor Esquerdo nº 99,40.4157413,-3.6691838
77,77,Plaza de los Astros,24,Avenida de Nazaret nº 7,40.4114475,-3.6689089
78,78,Puerta del Pacífico ,24,Avenida de Menéndez Pelayo nº 73,40.4117627,-3.6766813
79,79,Menéndez Pelayo,24,Avenida de Menéndez Pelayo nº 90,40.4082805,-3.6784838
80,80,Puerta de Mariano de Cavia,24,Avenida del Mediterráneo nº 19,40.4076726,-3.6750121
81,81,Conde de Casal,22,Plaza del Conde de Casal nº 8,40.40635,-3.670422
82,82,Pedro Bosch,24,Calle Cerro de la Plata nº 2,40.4009101,-3.6744804
83,83,Puerta de Granada,24,Avenida de Menéndez Pelayo nº 38,40.4051451,-3.6803874
84,84,Atocha A,24,Paseo de la Infanta Isabel nº 3,40.4075685,-3.6902255
85,85,Atocha B,27,Paseo de la Infanta Isabel nº 3,40.4074902,-3.6901234
86,86,Cuesta de Moyano,24,Plaza del Emperador Carlos V nº 11,40.409297,-3.691987
87,87,Niño Jesús,24,Calle Doctor Esquerdo nº 161,40.4084556,-3.6697526
88,88,Pío Baroja,24,Calle Pío Baroja nº 10,40.4130243,-3.6751105
89,89,Valderribas,24,Calle Doctor Esquerdo nº 191,40.4032501,-3.6726019
90,90,Puerta de Madrid,27,Avenida de Menéndez Pelayo nº 11,40.421501,-3.680008
91,91,Cibeles,21,Paseo del Prado nº 1,40.4186148,-3.6926217
92,92,Ayala,24,Calle Ayala nº 44,40.427736,-3.6832566
